bayc_id,bakc_id,mayc_m1_id,mayc_m2_id,mayc_m3_id,all_mayc_ids,notes,source_confidence
8473,8473,26946,,,26946,,confirmed
8474,8474,26948,,,26948,,confirmed
8475,8475,26950,,,26950,,confirmed
8476,8476,,,,,NO_MAYC,confirmed
8477,8477,26954,,,26954,,confirmed
8478,8478,26956,26957,,"26956,26957",,confirmed
8479,8479,26958,,,26958,,confirmed
8480,8480,26960,,,26960,,confirmed
8481,8481,26962,,,26962,,confirmed
8482,8482,26964,,,26964,,confirmed
8483,8483,26966,26967,,"26966,26967",,confirmed
8484,8484,26968,,,26968,,confirmed
8485,8485,,,,,NO_MAYC,confirmed
8486,8486,26972,26973,,"26972,26973",,confirmed
8487,8487,26974,26975,,"26974,26975",,confirmed
8488,8488,26976,,,26976,,confirmed
8489,8489,,26979,,26979,,confirmed
8490,8490,,,,,NO_MAYC,confirmed
8491,8491,26982,,,26982,,confirmed
8492,8492,26984,,,26984,,confirmed
8493,8493,26986,,,26986,,confirmed
8494,8494,26988,,,26988,,confirmed
8495,8495,,,,,NO_MAYC,confirmed
8496,8496,26992,,,26992,,confirmed
8497,8497,26994,,,26994,,confirmed
8498,8498,26996,,,26996,,confirmed
8499,8499,26998,,,26998,,confirmed
8500,8500,27000,,,27000,,confirmed
8501,8501,27002,,,27002,,confirmed
8502,8502,,,,,NO_MAYC,confirmed
8503,8503,27006,,,27006,,confirmed
8504,8504,27008,,,27008,,confirmed
8505,8505,27010,,,27010,,confirmed
8506,8506,27012,,,27012,,confirmed
8507,8507,27014,,,27014,,confirmed
8508,8508,27016,,,27016,,confirmed
8509,8509,,,,,NO_MAYC,confirmed
8510,8510,27020,,,27020,,confirmed
8511,8511,,,,,NO_MAYC,confirmed
8512,8512,27024,,,27024,,confirmed
8513,8513,,,,,NO_MAYC,confirmed
8514,8514,27028,,,27028,,confirmed
8515,,27030,,,27030,NO_BAKC,confirmed
8516,8516,27032,,,27032,,confirmed
8517,8517,,,,,NO_MAYC,confirmed
8518,8518,,,,,NO_MAYC,confirmed
8519,8519,27038,,,27038,,confirmed
8520,,27040,,,27040,NO_BAKC,confirmed
8521,8521,27042,,,27042,,confirmed
8522,8522,27044,27045,,"27044,27045",,confirmed
8523,8523,27046,,,27046,,confirmed
8524,8524,27048,,,27048,,confirmed
8525,8525,27050,27051,,"27050,27051",,confirmed
8526,8526,27052,,,27052,,confirmed
8527,8527,27054,,,27054,,confirmed
8528,8528,27056,,,27056,,confirmed
8529,8529,27058,,,27058,,confirmed
8530,8530,27060,,,27060,,confirmed
8531,8531,27062,,,27062,,confirmed
8532,8532,27064,,,27064,,confirmed
8533,,27066,,,27066,NO_BAKC,confirmed
8534,8534,27068,27069,,"27068,27069",,confirmed
8535,8535,27070,27071,,"27070,27071",,confirmed
8536,8536,,,,,NO_MAYC,confirmed
8537,8537,27074,,,27074,,confirmed
8538,8538,27076,27077,,"27076,27077",,confirmed
8539,8539,27078,27079,,"27078,27079",,confirmed
8540,8540,27080,,,27080,,confirmed
8541,8541,27082,,,27082,,confirmed
8542,8542,27084,,,27084,,confirmed
8543,8543,27086,27087,,"27086,27087",,confirmed
8544,8544,27088,27089,,"27088,27089",,confirmed
8545,8545,27090,,,27090,,confirmed
8546,8546,27092,27093,,"27092,27093",,confirmed
8547,8547,27094,,,27094,,confirmed
8548,8548,27096,,,27096,,confirmed
8549,8549,,,,,NO_MAYC,confirmed
8550,,27100,27101,,"27100,27101",NO_BAKC,confirmed
8551,8551,27102,,,27102,,confirmed
8552,8552,27104,27105,,"27104,27105",,confirmed
8553,8553,27106,,,27106,,confirmed
8554,8554,27108,,,27108,,confirmed
8555,8555,27110,27111,,"27110,27111",,confirmed
8556,8556,27112,,,27112,,confirmed
8557,8557,27114,,,27114,,confirmed
8558,8558,27116,,,27116,,confirmed
8559,8559,27118,,,27118,,confirmed
8560,8560,27120,27121,,"27120,27121",,confirmed
8561,8561,,,,,NO_MAYC,confirmed
8562,,,,,,NO_MAYC; NO_BAKC,confirmed
8563,8563,27126,27127,,"27126,27127",,confirmed
8564,8564,27128,,,27128,,confirmed
8565,8565,,,,,NO_MAYC,confirmed
8566,8566,27132,,,27132,,confirmed
8567,8567,,27135,,27135,,confirmed
8568,8568,27136,,,27136,,confirmed
8569,8569,27138,,,27138,,confirmed
8570,8570,27140,27141,,"27140,27141",,confirmed
8571,8571,27142,,,27142,,confirmed
8572,,27144,,,27144,NO_BAKC,confirmed
8573,8573,27146,,,27146,,confirmed
8574,8574,27148,,,27148,,confirmed
8575,8575,27150,27151,,"27150,27151",,confirmed
8576,8576,27152,27153,,"27152,27153",,confirmed
8577,8577,27154,27155,,"27154,27155",,confirmed
8578,8578,27156,,,27156,,confirmed
8579,8579,,,,,NO_MAYC,confirmed
8580,8580,27160,27161,,"27160,27161",,confirmed
8581,8581,27162,,,27162,,confirmed
8582,8582,27164,,,27164,,confirmed
8583,8583,27166,,,27166,,confirmed
8584,8584,27168,27169,,"27168,27169",,confirmed
8585,8585,27170,27171,,"27170,27171",,confirmed
8586,8586,27172,,,27172,,confirmed
8587,8587,,,,,NO_MAYC,confirmed
8588,8588,27176,,,27176,,confirmed
8589,8589,,27179,,27179,,confirmed
8590,8590,27180,27181,,"27180,27181",,confirmed
8591,8591,27182,,,27182,,confirmed
8592,8592,27184,27185,,"27184,27185",,confirmed
8593,8593,27186,,,27186,,confirmed
8594,8594,27188,27189,,"27188,27189",,confirmed
8595,8595,,,,,NO_MAYC,confirmed
8596,8596,27192,,,27192,,confirmed
8597,8597,27194,,,27194,,confirmed
8598,8598,27196,27197,,"27196,27197",,confirmed
8599,8599,27198,27199,,"27198,27199",,confirmed
8600,8600,,,,,NO_MAYC,confirmed
8601,8601,27202,27203,,"27202,27203",,confirmed
8602,8602,,,,,NO_MAYC,confirmed
